name,orcid,field,group,h_index,total_citations,total_publications,avg_authors_per_paper,avg_author_position,n_journals,S_text_raw,S_concepts_raw,mesh_coverage,works_analyzed,C,A,S,J,C_saturating,J_saturating,KANON,KANON_global,rank_KANON,rank_h,rank_shift_vs_h,data_quality,rank_KANON_clean,rank_h_clean,KANON_pctl,KANON_global_pctl,rank_shift_clean
Michelle Francl,0000-0003-1940-1560,Chemistry,Elite (matched),24,11912,121,1.25,1.19,11,0.3737,0.6884,0.062,10,0.1,0.8796,0.6255,0.0176,1.0,0.22,72.236,68.861,1,167,166,ok,1.0,165.0,100.0,100.0,164.0
Stephen F. Altschul,0000-0003-2120-9631,Chemistry,Elite (matched),45,201772,96,3.63,2.4,14,0.6515,0.8488,0.567,27,0.8882,0.5977,0.8093,0.0294,1.0,0.28,69.283,67.341,2,147,145,ok,2.0,146.0,99.40476190476191,99.40476190476191,144.0
István Hargittai,0000-0003-3638-7844,Chemistry,Elite (matched),42,8462,816,1.7,1.41,20,0.1958,0.7198,0.01,29,0.0647,0.7927,0.615,0.0735,0.8462,0.4,67.63,63.914,3,153,150,ok,3.0,152.0,98.80952380952381,98.80952380952381,149.0
Ei-ichi Negishi,0000-0003-3582-6011,Chemistry,Nobel,83,26066,717,3.15,2.48,36,0.1748,0.8773,0.038,81,0.2176,0.6209,0.7368,0.2735,1.0,0.72,66.018,61.925,4,104,100,ok,4.0,104.0,98.21428571428571,97.61904761904762,100.0
Arieh Warshel,0000-0002-2453-7972,Chemistry,Nobel,123,59731,593,4.13,3.75,46,0.4751,0.8522,0.645,182,0.3765,0.5309,0.7768,0.3912,1.0,0.92,64.232,59.388,5,63,58,ok,5.0,63.0,97.61904761904762,94.64285714285714,58.0
Philippe C. Hiberty,0000-0002-7081-4654,Chemistry,Elite (matched),54,10172,253,3.5,2.85,29,0.2741,0.8489,0.046,80,0.0765,0.5889,0.7339,0.2,1.0,0.58,63.886,58.051,6,138,132,ok,6.0,138.0,97.02380952380952,89.88095238095238,132.0
Paul G. Mezey,0000-0001-7245-5141,Chemistry,Elite (matched),45,10201,479,3.12,1.88,23,0.2391,0.7905,0.012,50,0.0824,0.644,0.6802,0.1147,1.0,0.46,63.774,58.355,7,147,140,ok,7.0,146.0,96.42857142857143,92.85714285714286,139.0
Pierre Laszlo,0000-0003-4334-771X,Chemistry,Elite (matched),49,8277,507,1.25,1.17,23,0.1713,0.5134,0.012,39,0.0529,0.8805,0.445,0.1147,0.8277,0.46,63.752,61.563,8,143,135,ok,8.0,142.0,95.83333333333334,96.42857142857143,134.0
Stefan Grimme,0000-0002-5844-4371,Chemistry,Elite (matched),136,214028,1549,5.54,3.92,35,0.4542,0.8735,0.11,196,0.9118,0.4811,0.7896,0.2588,1.0,0.7,63.319,62.452,9,52,43,ok,9.0,52.0,95.23809523809523,98.21428571428571,43.0
Herbert Mayr,0000-0003-0768-5199,Chemistry,Elite (matched),80,24669,1511,3.98,3.58,26,0.2315,0.892,0.065,197,0.2,0.5425,0.7599,0.1471,1.0,0.52,63.06,58.317,10,108,98,ok,10.0,108.0,94.64285714285714,91.96428571428571,98.0
Jean-Pierre Sauvage,0000-0002-6270-8057,Chemistry,Nobel,85,25687,612,2.91,2.42,42,0.2572,0.7496,0.05,89,0.2118,0.638,0.6511,0.3412,1.0,0.84,62.869,58.599,11,101,90,ok,11.0,101.0,94.04761904761905,93.45238095238095,90.0
Richard R. Schrock,0000-0002-7030-6111,Chemistry,Nobel,120,57588,1187,4.7,3.56,29,0.2822,0.8745,0.15,181,0.3647,0.5167,0.756,0.2,1.0,0.58,62.113,58.153,12,68,56,ok,12.0,68.0,93.45238095238095,91.07142857142857,56.0
Sudhir Kumar,0000-0002-9918-8212,Chemistry,Elite (matched),78,291924,584,5.87,4.08,87,0.4295,0.8187,0.49,164,0.9647,0.4681,0.7409,0.9382,1.0,1.0,61.971,61.621,13,109,96,ok,13.0,109.0,92.85714285714286,97.02380952380952,96.0
Roald Hoffmann,0000-0001-5369-6046,Chemistry,Elite (matched),131,66662,1018,4.24,3.35,51,0.3174,0.8174,0.05,182,0.3824,0.5397,0.7174,0.4559,1.0,1.0,61.964,58.069,14,57,43,ok,14.0,57.0,92.26190476190477,90.47619047619048,43.0
Frank Neese,0000-0003-4691-0547,Chemistry,Elite (matched),142,109698,984,5.18,4.27,39,0.5126,0.8434,0.32,178,0.4941,0.4802,0.7772,0.3147,1.0,0.78,61.912,57.635,15,43,28,ok,15.0,43.0,91.66666666666666,88.69047619047619,28.0
Benjamin List,0000-0002-9899-4052,Chemistry,Nobel,103,45698,1763,4.21,3.95,27,0.2075,0.886,0.075,184,0.3294,0.5214,0.7503,0.1618,1.0,0.54,61.902,58.317,16,78,62,ok,16.0,78.0,91.07142857142857,91.96428571428571,62.0
Morten Meldal,0000-0002-6948-9165,Chemistry,Nobel,58,24256,481,4.28,3.31,48,0.2724,0.8386,0.226,84,0.1941,0.5395,0.7254,0.4147,1.0,0.96,61.841,56.707,17,132,115,ok,17.0,132.0,90.47619047619048,86.30952380952381,115.0
Martin Karplus,0000-0002-8269-8025,Chemistry,Nobel,171,158498,996,5.41,4.62,53,0.4345,0.8527,0.527,107,0.7941,0.4634,0.7691,0.4853,1.0,1.0,61.736,60.244,18,20,2,ok,18.0,20.0,89.88095238095238,95.23809523809523,2.0
Koichiro Tamura,0000-0001-7189-5399,Chemistry,Elite (matched),40,263110,133,5.13,3.48,33,0.434,0.7967,0.316,78,0.9529,0.5058,0.7242,0.2382,1.0,0.66,61.406,61.117,19,156,137,ok,19.0,155.0,89.28571428571429,95.83333333333334,136.0
Robert H. Grubbs,0000-0002-0057-7817,Chemistry,Nobel,151,98170,1362,4.6,4.29,38,0.3096,0.861,0.185,189,0.4412,0.497,0.7507,0.2971,1.0,0.76,61.292,57.937,20,32,12,ok,20.0,32.0,88.69047619047619,89.28571428571429,12.0
Pedro Alexandrino Fernandes,0000-0003-2748-4722,Chemistry,Elite (matched),58,15244,1225,5.25,3.92,85,0.4274,0.8154,0.53,166,0.1353,0.4889,0.7378,0.9,1.0,1.0,60.959,54.271,21,132,111,ok,21.0,132.0,88.09523809523809,79.16666666666666,111.0
Richard Henderson,0000-0002-4795-8364,Chemistry,Nobel,78,34021,497,4.89,3.25,64,0.39,0.7884,0.205,125,0.2765,0.5202,0.7087,0.7059,1.0,1.0,60.94,55.599,22,109,87,ok,22.0,109.0,87.5,83.33333333333334,87.0
Prescott L. Deininger,0000-0002-1067-3028,Chemistry,Elite (matched),76,110527,259,4.85,4.17,37,0.3962,0.829,0.329,61,0.5,0.4929,0.7424,0.2882,1.0,0.74,60.806,57.363,23,112,89,ok,23.0,112.0,86.90476190476191,87.5,89.0
Jacques Dubochet,0000-0002-5792-4067,Chemistry,Nobel,62,17044,179,5.12,3.88,19,0.4939,0.8228,0.546,22,0.1412,0.4938,0.757,0.0618,1.0,0.38,60.283,53.401,24,128,104,ok,24.0,128.0,86.30952380952381,77.97619047619048,104.0
