name,orcid,field,is_nobel,horizon,ref_year,cutoff_year,total_citations,avg_author_position,avg_authors_per_paper,complexity_keyword_score,complexity_concept_score,complexity_mesh_score,mesh_coverage,journals,h_index,total_publications,complexity_n_works_analyzed,cby_min_year
Victor Ambros,0000-0001-6772-9174,Medicine,1,0,2024,2024,5154,4.1,4.52,0.298,0.8768,0.4343,0.2,38,35,115,91,2012
Victor Ambros,0000-0001-6772-9174,Medicine,1,5,2024,2019,14781,3.5,4.01,0.3296,0.8695,0.4533,0.27,37,37,100,70,2012
Victor Ambros,0000-0001-6772-9174,Medicine,1,10,2024,2014,6236,3.32,3.95,0.3677,0.8646,0.4151,0.3467,31,30,75,45,2012
Gary Ruvkun,0000-0002-6506-1673,Medicine,1,0,2024,2024,10806,5.11,5.81,0.3176,0.8467,0.4435,0.2389,57,57,180,125,2012
Gary Ruvkun,0000-0002-6506-1673,Medicine,1,5,2024,2019,13641,5.13,5.8,0.3237,0.8421,0.4426,0.3057,66,56,193,116,2012
Gary Ruvkun,0000-0002-6506-1673,Medicine,1,10,2024,2014,6440,4.84,5.29,0.3566,0.8467,0.4495,0.3515,60,39,165,93,2012
Katalin Karikó,0000-0002-2343-5899,Medicine,1,0,2023,2023,14902,8.42,14.02,0.4531,0.8054,0.5563,0.375,48,40,96,56,2012
Katalin Karikó,0000-0002-2343-5899,Medicine,1,5,2023,2018,3414,5.3,8.99,0.4758,0.8172,0.5413,0.4789,39,25,71,39,2012
Katalin Karikó,0000-0002-2343-5899,Medicine,1,10,2023,2013,848,3.5,6.7,0.4383,0.8197,0.5004,0.5,33,13,64,41,2012
Drew Weissman,0000-0002-4448-8933,Medicine,1,0,2023,2023,18558,11.4,14.45,0.4241,0.7868,0.5343,0.3697,102,58,238,177,2012
Drew Weissman,0000-0002-4448-8933,Medicine,1,5,2023,2018,3274,6.82,8.81,0.5443,0.8083,0.6128,0.5699,53,28,93,72,2012
Drew Weissman,0000-0002-4448-8933,Medicine,1,10,2023,2013,835,4.81,7.26,0.4818,0.8232,0.5556,0.589,41,15,73,57,2012
Svante Pääbo,0000-0002-5613-2926,Medicine,1,0,2022,2022,44100,11.3,12.66,0.444,0.6983,0.525,0.5034,76,99,294,193,2012
Svante Pääbo,0000-0002-5613-2926,Medicine,1,5,2022,2017,20975,9.77,10.92,0.4506,0.7255,0.5144,0.5458,77,73,273,162,2012
Svante Pääbo,0000-0002-5613-2926,Medicine,1,10,2022,2012,2814,7.08,7.85,0.4551,0.7658,0.526,0.5469,70,25,245,137,2012
David Julius,0000-0002-6942-9277,Medicine,1,0,2021,2021,19616,5.33,7.88,0.3422,0.7586,0.4602,0.2721,43,50,147,44,2012
David Julius,0000-0002-6942-9277,Medicine,1,5,2021,2016,14146,5.65,8.11,0.3397,0.7559,0.4312,0.3411,44,46,129,41,2012
David Julius,0000-0002-6942-9277,Medicine,1,10,2021,2011,17,5.8,8.52,0.3401,0.7496,0.4147,0.4037,41,1,109,41,2012
Ardem Patapoutian,0000-0002-2278-5397,Medicine,1,0,2021,2021,20233,7.99,8.83,0.4405,0.7749,0.5397,0.3623,42,68,138,66,2012
Ardem Patapoutian,0000-0002-2278-5397,Medicine,1,5,2021,2016,8058,6.78,7.69,0.4774,0.7695,0.5736,0.4141,34,45,99,40,2012
Ardem Patapoutian,0000-0002-2278-5397,Medicine,1,10,2021,2011,1,4.89,5.58,0.4906,0.7681,0.6099,0.4923,29,1,65,30,2012
Harvey J. Alter,0000-0003-0748-3965,Medicine,1,0,2020,2020,4152,5.3,7.65,0.5945,0.7289,0.642,0.4451,46,36,182,135,2012
Harvey J. Alter,0000-0003-0748-3965,Medicine,1,5,2020,2015,2810,5.53,7.81,0.6251,0.7169,0.655,0.5652,44,31,161,118,2012
Harvey J. Alter,0000-0003-0748-3965,Medicine,1,10,2020,2010,54,4.9,7.23,0.6188,0.7141,0.6439,0.5563,40,3,142,94,2012
Michael Houghton,0000-0001-8002-0977,Medicine,1,0,2020,2020,3279,8.68,10.99,0.4409,0.7265,0.5193,0.4926,70,32,136,86,2012
Michael Houghton,0000-0001-8002-0977,Medicine,1,5,2020,2015,2565,8.02,10.58,0.4661,0.7271,0.5336,0.5414,60,24,133,79,2012
Michael Houghton,0000-0001-8002-0977,Medicine,1,10,2020,2010,99,7.67,10.17,0.4664,0.7268,0.5303,0.5422,53,6,166,91,2012
Charles M. Rice,0000-0001-5622-7397,Medicine,1,0,2020,2020,32725,8.94,10.69,0.4803,0.7499,0.5584,0.4779,100,93,429,274,2012
Charles M. Rice,0000-0001-5622-7397,Medicine,1,5,2020,2015,14879,6.59,8.03,0.4793,0.7448,0.5458,0.5216,77,62,347,221,2012
Charles M. Rice,0000-0001-5622-7397,Medicine,1,10,2020,2010,37,5.08,6.14,0.4626,0.7366,0.528,0.5185,53,4,243,164,2012
William G. Kaelin Jr.,0000-0002-5473-2556,Medicine,1,0,2019,2019,16941,6.56,7.45,0.354,0.827,0.4912,0.3577,82,67,260,126,2012
William G. Kaelin Jr.,0000-0002-5473-2556,Medicine,1,5,2019,2014,7412,4.88,5.69,0.3449,0.8323,0.4714,0.3802,85,49,263,122,2012
William G. Kaelin Jr.,0000-0002-5473-2556,Medicine,1,10,2019,2009,22,3.86,4.63,0.3437,0.8285,0.489,0.4009,77,2,232,107,2012
Peter J. Ratcliffe,0000-0003-1292-8707,Medicine,1,0,2019,2019,21170,7.54,9.54,0.4403,0.7849,0.5929,0.354,155,69,339,193,2012
Peter J. Ratcliffe,0000-0003-1292-8707,Medicine,1,5,2019,2014,9624,6.61,8.47,0.4384,0.7714,0.5755,0.3701,144,44,335,190,2012
Peter J. Ratcliffe,0000-0003-1292-8707,Medicine,1,10,2019,2009,98,5.17,6.77,0.4398,0.7613,0.5827,0.3907,129,5,302,160,2012
Gregg L. Semenza,0000-0003-4515-6180,Medicine,1,0,2019,2019,42766,5.47,6.41,0.4308,0.8326,0.5381,0.3912,158,109,432,291,2012
Gregg L. Semenza,0000-0003-4515-6180,Medicine,1,5,2019,2014,18249,5.24,6.15,0.4253,0.8403,0.5329,0.3863,152,73,409,283,2012
Gregg L. Semenza,0000-0003-4515-6180,Medicine,1,10,2019,2009,21,4.45,5.35,0.4195,0.8422,0.5339,0.3671,123,2,286,201,2012
James P. Allison,0000-0003-0546-0370,Medicine,1,0,2018,2018,25453,9.75,12.7,0.5247,0.7922,0.6442,0.4556,91,81,349,251,2012
James P. Allison,0000-0003-0546-0370,Medicine,1,5,2018,2013,5246,5.86,7.8,0.5212,0.8154,0.5889,0.5673,78,42,245,157,2012
James P. Allison,0000-0003-0546-0370,Medicine,1,10,2018,2008,95,4.12,5.35,0.4776,0.8194,0.5206,0.5561,69,5,223,133,2012
Tasuku Honjo,0000-0002-4658-9175,Medicine,1,0,2018,2018,20221,6.25,7.51,0.4825,0.827,0.5785,0.492,120,65,313,178,2012
Tasuku Honjo,0000-0002-4658-9175,Medicine,1,5,2018,2013,5948,6.04,6.94,0.4755,0.8265,0.5534,0.5281,126,40,356,205,2012
Tasuku Honjo,0000-0002-4658-9175,Medicine,1,10,2018,2008,318,5.91,6.68,0.4817,0.8288,0.5496,0.5585,123,11,376,205,2012
Jeffrey C. Hall,0000-0002-2172-8968,Medicine,1,0,2017,2017,20,18.64,35.88,0.293,0.8529,0.0,0.0,12,3,25,20,2012
Jeffrey C. Hall,0000-0002-2172-8968,Medicine,1,5,2017,2012,2,17.55,23.09,0.4286,0.8241,0.0,0.0,7,1,11,8,2012
Jeffrey C. Hall,0000-0002-2172-8968,Medicine,1,10,2017,2007,0,27.83,32.5,0.3417,0.8276,0.0,0.0,4,0,6,5,2020
Michael Rosbash,0000-0003-2845-2460,Medicine,1,0,2017,2017,5475,4.21,4.71,0.3699,0.8159,0.4645,0.427,42,44,185,103,2012
Michael Rosbash,0000-0003-2845-2460,Medicine,1,5,2017,2012,1047,3.69,4.22,0.3511,0.8245,0.458,0.4041,40,17,193,96,2012
Michael Rosbash,0000-0003-2845-2460,Medicine,1,10,2017,2007,68,3.42,3.91,0.3693,0.8312,0.4779,0.4143,44,3,210,105,2012
Michael W. Young,0000-0002-6381-5668,Medicine,1,0,2017,2017,174,12.18,20.64,0.3644,0.7713,0.5854,0.2045,23,6,44,24,2012
Michael W. Young,0000-0002-6381-5668,Medicine,1,5,2017,2012,33,9.11,16.81,0.2719,0.8184,0.4497,0.1892,21,2,37,22,2012
Michael W. Young,0000-0002-6381-5668,Medicine,1,10,2017,2007,8,14.69,23.28,0.1736,0.8335,0.2765,0.1111,19,2,36,21,2012
Yoshinori Ohsumi,0000-0002-4083-6541,Medicine,1,0,2016,2016,16830,3.86,4.35,0.4877,0.7877,0.5978,0.2645,75,62,397,156,2012
Yoshinori Ohsumi,0000-0002-4083-6541,Medicine,1,5,2016,2011,13,3.32,3.69,0.474,0.7958,0.5659,0.2746,61,2,346,132,2012
