name,orcid,field,h_index,total_publications,total_citations,avg_authors_per_paper,avg_author_position,avg_complexity,complexity_keyword_score,complexity_concept_score,complexity_n_works_analyzed,works_in_period,top_works,journals,from_year,to_year,KANON_C,KANON_A,KANON_M,KANON_R,KANON_J,KANON_Index,complexity_mesh_score,mesh_coverage
Victor Ambros,0000-0001-6772-9174,Medicine,62,167,53609,4.56,4.05,0.527,0.2916,0.8801,90,111,111,36,2006,2026,0.15,0.4786,0.0527,0.031,0.072,0.8436,0.4498,0.1892
Gary Ruvkun,0000-0002-6506-1673,Medicine,103,295,56551,5.83,5.09,0.5269,0.3148,0.8451,128,182,182,59,2006,2026,0.15,0.4472,0.0527,0.05,0.1,0.8553,0.4342,0.2308
Katalin Karikó,0000-0002-2343-5899,Medicine,55,147,25546,15.43,9.82,0.5919,0.4554,0.7968,46,84,84,45,2006,2026,0.15,0.3054,0.0592,0.0275,0.09,0.7253,0.5451,0.381
Drew Weissman,0000-0002-4448-8933,Medicine,88,379,40777,14.69,12.17,0.5812,0.4333,0.8031,145,200,200,88,2006,2026,0.15,0.2349,0.0581,0.044,0.1,0.6887,0.4864,0.525
Svante Pääbo,0000-0002-5613-2926,Medicine,160,470,102514,14.19,12.87,0.5676,0.4799,0.6991,145,200,200,56,2006,2026,0.15,0.214,0.0568,0.05,0.1,0.6754,0.5209,0.61
David Julius,0000-0002-6942-9277,Medicine,88,232,72514,8.81,6.0,0.5019,0.3312,0.758,63,155,155,44,2006,2026,0.15,0.42,0.0502,0.044,0.088,0.8193,0.4102,0.2387
Ardem Patapoutian,0000-0002-2278-5397,Medicine,90,182,45695,9.5,8.69,0.5648,0.4254,0.774,82,153,153,41,2006,2026,0.15,0.3394,0.0565,0.045,0.082,0.7578,0.5196,0.3007
Harvey J. Alter,0000-0003-0748-3965,Medicine,79,312,26747,8.91,5.71,0.6382,0.5742,0.7343,110,140,140,47,2006,2026,0.15,0.4286,0.0638,0.0395,0.094,0.8373,0.6442,0.4143
Michael Houghton,0000-0001-8002-0977,Medicine,92,324,42374,11.12,9.2,0.556,0.4404,0.7293,85,125,125,74,2006,2026,0.15,0.324,0.0556,0.046,0.1,0.7599,0.5249,0.456
Charles M. Rice,0000-0001-5622-7397,Medicine,168,719,101523,14.13,12.23,0.6104,0.5115,0.7589,133,200,200,57,2006,2026,0.15,0.2331,0.061,0.05,0.1,0.6946,0.5658,0.655
William G. Kaelin Jr.,0000-0002-5473-2556,Medicine,138,497,68547,11.95,10.12,0.5595,0.3822,0.8255,121,200,200,69,2006,2026,0.15,0.2964,0.056,0.05,0.1,0.7415,0.4655,0.31
Peter J. Ratcliffe,0000-0003-1292-8707,Medicine,125,629,78245,12.2,9.98,0.5751,0.4149,0.8154,151,200,200,106,2006,2026,0.15,0.3004,0.0575,0.05,0.1,0.746,0.5315,0.45
Gregg L. Semenza,0000-0003-4515-6180,Medicine,186,696,156991,7.26,6.53,0.5906,0.4235,0.8412,155,200,200,97,2006,2026,0.15,0.4042,0.0591,0.05,0.1,0.8277,0.5116,0.525
James P. Allison,0000-0003-0546-0370,Medicine,158,1201,120376,17.62,14.24,0.6686,0.5889,0.7882,152,200,200,60,2006,2026,0.15,0.1728,0.0669,0.05,0.1,0.6494,0.6212,0.775
Tasuku Honjo,0000-0002-4658-9175,Medicine,143,728,96082,9.27,7.29,0.5909,0.4361,0.8229,120,200,200,98,2006,2026,0.15,0.3811,0.0591,0.05,0.1,0.8101,0.5446,0.405
Jeffrey C. Hall,0000-0002-2172-8968,Medicine,111,1208,68702,28.0,13.79,0.5247,0.3015,0.8595,25,29,29,13,2006,2026,0.15,0.1862,0.0525,0.05,0.026,0.5848,0.0,0.0
Michael Rosbash,0000-0003-2845-2460,Medicine,122,448,46672,6.48,5.85,0.5405,0.3578,0.8145,128,176,176,45,2006,2026,0.15,0.4246,0.054,0.05,0.09,0.8318,0.4233,0.3352
Michael W. Young,0000-0002-6381-5668,Medicine,146,2358,112393,15.78,11.11,0.5326,0.3952,0.7387,107,178,178,89,2006,2026,0.15,0.2666,0.0533,0.05,0.1,0.7155,0.732,0.1067
Yoshinori Ohsumi,0000-0002-4083-6541,Medicine,118,567,71476,5.92,5.08,0.5781,0.4342,0.794,112,200,200,71,2006,2026,0.15,0.4476,0.0578,0.05,0.1,0.8594,0.5704,0.27
William C. Campbell,0000-0002-8547-5166,Medicine,67,314,22553,10.25,5.38,0.5053,0.4256,0.6247,80,110,110,52,2006,2026,0.15,0.4385,0.0505,0.0335,0.1,0.8348,0.7645,0.3182
Satoshi Ōmura,0000-0003-1676-5972,Medicine,88,1583,47803,8.11,7.03,0.612,0.4861,0.8007,102,200,200,69,2006,2026,0.15,0.3891,0.0612,0.044,0.1,0.8132,0.5698,0.62
