name,orcid,field,year,prize
Victor Ambros,0000-0001-6772-9174,Medicine,2024,microRNA discovery
Gary Ruvkun,0000-0002-6506-1673,Medicine,2024,microRNA discovery
Katalin Karikó,0000-0002-2343-5899,Medicine,2023,mRNA vaccines
Drew Weissman,0000-0002-4448-8933,Medicine,2023,mRNA vaccines
Svante Pääbo,0000-0002-5613-2926,Medicine,2022,ancient human genomes
David Julius,0000-0002-6942-9277,Medicine,2021,temperature and touch receptors
Ardem Patapoutian,0000-0002-2278-5397,Medicine,2021,temperature and touch receptors
Harvey J. Alter,0000-0003-0748-3965,Medicine,2020,Hepatitis C virus
Michael Houghton,0000-0001-8002-0977,Medicine,2020,Hepatitis C virus
Charles M. Rice,0000-0001-5622-7397,Medicine,2020,Hepatitis C virus
William G. Kaelin Jr.,0000-0002-5473-2556,Medicine,2019,oxygen sensing
Peter J. Ratcliffe,0000-0003-1292-8707,Medicine,2019,oxygen sensing
Gregg L. Semenza,0000-0003-4515-6180,Medicine,2019,oxygen sensing
James P. Allison,0000-0003-0546-0370,Medicine,2018,cancer immunotherapy
Tasuku Honjo,0000-0002-4658-9175,Medicine,2018,cancer immunotherapy
Jeffrey C. Hall,0000-0002-2172-8968,Medicine,2017,circadian rhythms
Michael Rosbash,0000-0003-2845-2460,Medicine,2017,circadian rhythms
Michael W. Young,0000-0002-6381-5668,Medicine,2017,circadian rhythms
Yoshinori Ohsumi,0000-0002-4083-6541,Medicine,2016,autophagy
William C. Campbell,0000-0002-8547-5166,Medicine,2015,parasitic infections
Satoshi Ōmura,0000-0003-1676-5972,Medicine,2015,parasitic infections
Tu Youyou,0000-0002-2467-4911,Medicine,2015,malaria therapy
John O'Keefe,0000-0001-5829-2926,Medicine,2014,spatial navigation
May-Britt Moser,0000-0003-4071-1145,Medicine,2014,spatial navigation
Edvard I. Moser,0000-0002-5830-2259,Medicine,2014,spatial navigation
James E. Rothman,0000-0001-8653-8650,Medicine,2013,vesicle trafficking
Randy W. Schekman,0000-0001-8615-6409,Medicine,2013,vesicle trafficking
Thomas C. Südhof,0000-0001-9319-0149,Medicine,2013,vesicle trafficking
John B. Gurdon,0000-0002-8395-5467,Medicine,2012,cell reprogramming
Shinya Yamanaka,0000-0001-9469-1494,Medicine,2012,cell reprogramming
Bruce A. Beutler,0000-0002-5482-6695,Medicine,2011,innate immunity
Jules A. Hoffmann,0000-0001-8316-6514,Medicine,2011,innate immunity
Elizabeth H. Blackburn,0000-0001-6327-8544,Medicine,2009,telomeres
Carol W. Greider,0000-0002-3504-2562,Medicine,2009,telomeres
Jack W. Szostak,0000-0003-2322-3106,Medicine,2009,telomeres
Harald zur Hausen,0000-0001-8939-7527,Medicine,2008,HPV and cancer
Françoise Barré-Sinoussi,0000-0003-2804-5957,Medicine,2008,HIV discovery
Mario R. Capecchi,0000-0003-0382-2729,Medicine,2007,gene targeting
Martin J. Evans,0000-0002-6395-7641,Medicine,2007,gene targeting
Andrew Z. Fire,0000-0002-9103-7449,Medicine,2006,RNA interference
Craig C. Mello,0000-0002-4741-6876,Medicine,2006,RNA interference
Barry J. Marshall,0000-0001-9322-1323,Medicine,2005,H. pylori
John J. Hopfield,0000-0002-6976-6069,Physics,2024,neural networks
Geoffrey E. Hinton,0000-0003-4373-3611,Physics,2024,machine learning
Pierre Agostini,0000-0002-8817-3487,Physics,2023,attosecond pulses
Ferenc Krausz,0000-0002-2843-9471,Physics,2023,attosecond pulses
Anne L'Huillier,0000-0003-2613-9191,Physics,2023,attosecond pulses
Alain Aspect,0000-0002-3956-0474,Physics,2022,quantum entanglement
John F. Clauser,0000-0003-0347-1130,Physics,2022,quantum entanglement
Anton Zeilinger,0000-0003-4832-0849,Physics,2022,quantum entanglement
Syukuro Manabe,0000-0002-0335-3190,Physics,2021,climate modeling
Klaus Hasselmann,0000-0001-8336-2130,Physics,2021,climate modeling
Giorgio Parisi,0000-0002-2190-883X,Physics,2021,complex systems
Roger Penrose,0000-0003-2552-0916,Physics,2020,black holes
Reinhard Genzel,0000-0002-2767-9653,Physics,2020,Milky Way black hole
Andrea Ghez,0000-0003-3230-5055,Physics,2020,Milky Way black hole
James Peebles,0000-0002-0949-7549,Physics,2019,physical cosmology
Michel Mayor,0000-0003-0456-3728,Physics,2019,exoplanet discovery
Didier Queloz,0000-0002-1248-3967,Physics,2019,exoplanet discovery
Gérard Mourou,0000-0002-6966-6009,Physics,2018,ultrashort optical pulses
Donna Strickland,0000-0003-0335-6318,Physics,2018,ultrashort optical pulses
Rainer Weiss,0000-0003-0974-2988,Physics,2017,LIGO gravitational waves
Barry C. Barish,0000-0002-8763-1072,Physics,2017,LIGO gravitational waves
Kip S. Thorne,0000-0002-4766-8499,Physics,2017,LIGO gravitational waves
F. Duncan M. Haldane,0000-0002-0384-0886,Physics,2016,topological phases
J. Michael Kosterlitz,0000-0002-4292-5335,Physics,2016,topological phases
Takaaki Kajita,0000-0002-4357-7450,Physics,2015,neutrino oscillations
Arthur B. McDonald,0000-0003-1161-4238,Physics,2015,neutrino oscillations
Hiroshi Amano,0000-0002-2128-1708,Physics,2014,blue LEDs
Shuji Nakamura,0000-0002-3761-1197,Physics,2014,blue LEDs
François Englert,0000-0002-5340-8046,Physics,2013,Higgs mechanism
Peter Higgs,0000-0002-6569-2937,Physics,2013,Higgs mechanism
Serge Haroche,0000-0002-1442-2881,Physics,2012,quantum optics
David J. Wineland,0000-0003-3895-5710,Physics,2012,quantum optics
Saul Perlmutter,0000-0002-9589-2701,Physics,2011,accelerating universe
Brian P. Schmidt,0000-0001-6589-1287,Physics,2011,accelerating universe
Adam G. Riess,0000-0002-0938-4314,Physics,2011,accelerating universe
Andre Geim,0000-0002-2551-0548,Physics,2010,graphene
Konstantin Novoselov,0000-0002-1928-7159,Physics,2010,graphene
Makoto Kobayashi,0000-0002-8849-4445,Physics,2008,CP violation
Albert Fert,0000-0003-3244-1610,Physics,2007,giant magnetoresistance
John C. Mather,0000-0001-8748-7315,Physics,2006,cosmic microwave background
George F. Smoot,0000-0003-0861-1709,Physics,2006,cosmic microwave background
Theodor W. Hänsch,0000-0002-2796-1589,Physics,2005,laser spectroscopy
David Baker,0000-0001-7896-6217,Chemistry,2024,protein design
Demis Hassabis,0000-0002-5359-5567,Chemistry,2024,protein structure prediction
John M. Jumper,0000-0001-9254-7192,Chemistry,2024,protein structure prediction
Moungi G. Bawendi,0000-0003-2220-4365,Chemistry,2023,quantum dots
Louis E. Brus,0000-0002-8276-0242,Chemistry,2023,quantum dots
Carolyn R. Bertozzi,0000-0003-4102-4615,Chemistry,2022,click chemistry
Morten Meldal,0000-0002-6948-9165,Chemistry,2022,click chemistry
K. Barry Sharpless,0000-0002-6898-4623,Chemistry,2022,click chemistry
Benjamin List,0000-0002-9899-4052,Chemistry,2021,asymmetric organocatalysis
David W.C. MacMillan,0000-0001-6447-0587,Chemistry,2021,asymmetric organocatalysis
Emmanuelle Charpentier,0000-0002-6590-3657,Chemistry,2020,CRISPR gene editing
Jennifer A. Doudna,0000-0001-9161-999X,Chemistry,2020,CRISPR gene editing
John B. Goodenough,0000-0001-9350-3034,Chemistry,2019,lithium-ion batteries
M. Stanley Whittingham,0000-0003-4451-3168,Chemistry,2019,lithium-ion batteries
Akira Yoshino,0000-0001-6981-4982,Chemistry,2019,lithium-ion batteries
Frances H. Arnold,0000-0002-4027-364X,Chemistry,2018,directed evolution
George P. Smith,0000-0003-2221-8831,Chemistry,2018,phage display
Gregory P. Winter,0000-0002-1980-0609,Chemistry,2018,phage display
